"sample","file_name","match_val","material_class","spectrum_identity","library_id"
"S10","SFEI_01_S10_062_CONG_GRY.spa",0.713626600781629,"organic matter","soil","6a97b3d9dc75070af1321da2e3454a6c"
"S10","SFEI_01_S10_063_FRA_WHT_REDO.spa",0.74178206886591,"mineral","aragonite","00db0e56948869f3a605af8487302cf0"
"S10","SFEI_01_S10_063_FRA_WHT.spa",0.656197500205397,"mineral","aragonite","00db0e56948869f3a605af8487302cf0"
"S10","SFEI_01_S10_064_FRA_WHT_REDO.spa",0.741341845228636,"mineral","aragonite","00db0e56948869f3a605af8487302cf0"
"S01","SFEI_01_S01_053_FRA_WHT.spa",0.799276285972418,"mineral","montmorillonite no. 31","cb98ba9cef45060fe051134f393fd87e"
"S10","SFEI_01_S10_064_FRA_WHT.spa",0.718184891898662,"mineral","aragonite","00db0e56948869f3a605af8487302cf0"
"S10","SFEI_01_S10_065_CONG_YLO.spa",0.698857547984326,"mineral","cacl_solid_loudwolf","f46b9d6adc6c6f4c0689a7c9f2a3e023"
"S10","SFEI_01_S10_066_FRA_WHT.spa",0.907705438384911,"poly(ethylene)","hdpe","6f056d9a4eb4783f43c2c1bcd622d046"
"S10","SFEI_01_S10_067_FRA_BRN.spa",0.636913295578967,"mineral","cacl_solid_loudwolf","f46b9d6adc6c6f4c0689a7c9f2a3e023"
"S10","SFEI_01_S10_068_FRA_WHT.spa",0.521240151863195,"polystyrenes (polyphenylethylenes, -methylstyrene)","ps","87778acde09c9f4d4162d6520c47f970"
"S10","SFEI_01_S10_069_FRA_YLO.spa",0.541246993817723,"polystyrenes (polyphenylethylenes, -methylstyrene)","ps","b1716b578106cf442617aa87d4fda94d"
"S10","SFEI_01_S10_070_FRA_TAN.spa",0.764995643164173,"poly(ethylene)","pe","91a1924851540f0603f844669cf499dd"
"S10","SFEI_01_S10_071_FRA_YLO.spa",0.487774791125036,"organic matter","soil","069f787897054ae9597fed1dc4aaeebb"
"S10","SFEI_01_S10_072_FLM_TAN.spa",0.747724653161026,"organic matter","soil","db2e1e4c9055ac97d0b79e51c6f743a5"
"S10","SFEI_01_S10_073_FRA_YLO.spa",0.644986435322856,"mineral","amber","0367af591eb4025e67fc984340be0feb"
"S01","SFEI_01_S01_054_FRA_WHT.spa",0.558306366416356,"mineral","soil","fdde0f88d2bc6fb8c4c399874526cc9f"
